"AÑOHECHO","Lugarhech","UNIDAD","Mes","RANGOetario","JovenAdulto","Genero","NACIONALIDAD","Camión","CeldaPabellón","HPC","Tránsito","LeoneraSaladeEspera","BuzonesCeldadeAislamiento","OficinaAdministrativa","OtroLugar","AgentesdeRequisa","AgentedeSeguridadInternaoJefe","DirectordelaUnidad","AgentesdeDivisiónTrasportes","MédicoEnfermero","AgentedelaPolicía","OtroAgente","MASDE1","BIENVENIDA","AISLAMIENTO","REQUISAS","TRASLADOS","REITEGROS","CIRCULACIÓN","MOTINES","RECLAMO","Reclamo_ind","OTROS","REQXCONFLICTO","RECUENTOS","REINTEG","PUÑOS","OIDOS","PATADAS","CACHEADAS","ASFIXIA","PUNTAZOSCORTES","PICANA","PILAHUM","PUENTE","QUEMADURAS","DUCHAFRI","ABUSOSEXUAL","GASPIMIENTA","PATA.PATA","OTROS_","PALOSES","ESCUDOS","ARMASBLA","BORCEGUÍES","ITAKAS","BALDEGOM","CABLESSOGAS","OTRO","BOMBA","PATGEN","PISO","ESPALDAS","ESPATADO","VENDADOS","DESNUDAR","ESCUPIT","PELOS","OTRACIR","CABEZA","EXTREMIDADES","ESPALDA","CARA","GENITALES","TOBILLOS","COSTILLAS","PLANTAPIE","TORSO","LESIONES","XDENUNC","PLACA","IDENTAGRE","AMEXDEN","SINLESIONES","SANCIONpostagresion"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Sin datos","Sin dato","Sin datos","Varón","Argentina","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","Sin datos","NO","NO","NO","NO","NO","SI","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","Sin datos","NO","SI, a todos","Sin datos","Sin datos","SI"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
